_id	faction	letter	name	url	vote_stats.absent	vote_stats.abstain	vote_stats.no	vote_stats.yes
50e111f5052d3f3584b2f932	КПРФ	А	Алимова Ольга Николаевна	/?convocation=AAAAAAA6&deputy=99111779	609	2	91	875
50e111f5052d3f3584b2f990	СР	Д	Дмитриева Оксана Генриховна	/?convocation=AAAAAAA6&deputy=99100128	549	1	120	907
50e111f6052d3f3584b2f9fe	ЛДПР	Л	Литвинцев Дмитрий Алексеевич	/?convocation=AAAAAAA6&deputy=99111881	794		12	771
50e111f6052d3f3584b2fa31	ЛДПР	Н	Нилов Ярослав Евгеньевич	/?convocation=AAAAAAA6&deputy=99110213	763	2	14	798
50e11568052d3f362813ba06	ЕР	К	Климов Андрей Аркадьевич	/?convocation=AAAAAAA6&deputy=99100647	365		6	462
50e1156a052d3f362813ba07	ЕР	Я	Яковлева Татьяна Владимировна	/?convocation=AAAAAAA6&deputy=99100670	336		16	406
50e1156e052d3f362813ba08	ЕР	М	Морозов Олег Викторович	/?convocation=AAAAAAA6&deputy=99100452	335	1	7	301
50e1156e052d3f362813ba09	ЕР	С	Семёнова Екатерина Юрьевна	/?convocation=AAAAAAA6&deputy=99111051	322		18	304
50e11577052d3f362813ba0a	ЕР	Б	Бокова Людмила Николаевна	/?convocation=AAAAAAA6&deputy=99111796	117		16	219
50e11577052d3f362813ba0b	ЕР	З	Зеренков Валерий Георгиевич	/?convocation=AAAAAAA6&deputy=99107555	110		23	219
50e11577052d3f362813ba0c	ЛДПР	О	Островский Алексей Владимирович	/?convocation=AAAAAAA6&deputy=99100584	170		3	179
50e11577052d3f362813ba0d	ЕР	Э	Эм Юрий Павлович	/?convocation=AAAAAAA6&deputy=99111979	104		16	232
50e1157a052d3f362813ba0e	ЕР	К	Канчер Сергей Васильевич	/?convocation=AAAAAAA6&deputy=99112017	77		16	160
50e1157d052d3f362813ba0f	ЕР	К	Косачев Константин Иосифович	/?convocation=AAAAAAA6&deputy=99100766	54		11	103
50e1157e052d3f362813ba10	ЕР	П	Прокопенко Тимур Валентинович	/?convocation=AAAAAAA6&deputy=99110429	44		11	91
50e1157e052d3f362813ba11	ЕР	А	Амирилаев Адам Баширович	/?convocation=AAAAAAA6&deputy=99110908	43		8	79
50e1157f052d3f362813ba12	ЕР	Б	Боженов Сергей Анатольевич	/?convocation=AAAAAAA6&deputy=99112005	27		8	55
50e11581052d3f362813ba13	КПРФ	С	Стародубцев Василий Александрович	/?convocation=AAAAAAA6&deputy=99105843	21			8
50e11582052d3f362813ba14	ЕР	З	Зубарев Виктор Владиславович	/?convocation=AAAAAAA6&deputy=99110967	93		2	170
50e11583052d3f362813ba15	ЛДПР	К	Катасонов Сергей Михайлович	/?convocation=AAAAAAA6&deputy=99112236	11			21
50e111f6052d3f3584b2fa18	СР	М	Миронов Сергей Михайлович	/?convocation=AAAAAAA6&deputy=99107891	605	1	103	868
50e111f5052d3f3584b2f946	ЕР	Б	Баталова Рима Акбердиновна	/?convocation=AAAAAAA6&deputy=99111789	614		23	940
50e111f6052d3f3584b2fa8d	КПРФ	С	Собко Сергей Васильевич	/?convocation=AAAAAAA6&deputy=99109959	667		87	823
50e111f5052d3f3584b2f959	СР	Б	Бычкова Евдокия Ивановна	/?convocation=AAAAAAA6&deputy=99111984	564	1	111	901
50e111f6052d3f3584b2fa84	КПРФ	С	Симагин Владимир Александрович	/?convocation=AAAAAAA6&deputy=99111944	652	1	92	832
50e111f6052d3f3584b2f9fd	ЕР	Л	Липатов Юрий Александрович	/?convocation=AAAAAAA6&deputy=99100756	603		30	944
50e111f6052d3f3584b2faca	ЛДПР	Ч	Чиркова Ирина Александровна	/?convocation=AAAAAAA6&deputy=99111970	804	3	12	758
50e111f6052d3f3584b2fab8	ЕР	Х	Хайруллин Айрат Назипович	/?convocation=AAAAAAA6&deputy=99109928	605		29	943
50e111f6052d3f3584b2fa1a	ЕР	М	Михалев Борис Владимирович	/?convocation=AAAAAAA6&deputy=99111478	620		21	936
50e111f5052d3f3584b2f996	СР	Д	Драпеко Елена Григорьевна	/?convocation=AAAAAAA6&deputy=99100799	575	1	106	895
50e111f5052d3f3584b2f92d	СР	А	Агеев Александр Александрович	/?convocation=AAAAAAA6&deputy=99109965	580	6	101	890
50e111f6052d3f3584b2fa8e	ЛДПР	С	Соболев Виктор Васильевич	/?convocation=AAAAAAA6&deputy=99110647	756	1	14	806
50e111f6052d3f3584b2f9f6	ЛДПР	Л	Лебедев Игорь Владимирович	/?convocation=AAAAAAA6&deputy=99100750	817	2	15	743
50e111f5052d3f3584b2f999	ЕР	Е	Езубов Алексей Петрович	/?convocation=AAAAAAA6&deputy=99110954	599	1	35	942
50e111f6052d3f3584b2fa6f	ЕР	С	Савельев Дмитрий Владимирович	/?convocation=AAAAAAA6&deputy=99100690	614	1	18	944
50e111f6052d3f3584b2f9e5	ЕР	К	Кретов Александр Владимирович	/?convocation=AAAAAAA6&deputy=99111866	593		41	943
50e111f5052d3f3584b2f94f	ЕР	Б	Борзова Ольга Георгиевна	/?convocation=AAAAAAA6&deputy=99110064	613		22	942
50e111f6052d3f3584b2f9ab	ЛДПР	З	Золочевский Виталий Сергеевич	/?convocation=AAAAAAA6&deputy=99111176	777	1	13	786
50e111f6052d3f3584b2fad8	ЕР	Ш	Шойгу Лариса Кужугетовна	/?convocation=AAAAAAA6&deputy=99111084	587		46	944
50e111f5052d3f3584b2f96f	ЕР	Г	Гаджиев Магомед Тажудинович	/?convocation=AAAAAAA6&deputy=99110082	598		34	945
50e111f6052d3f3584b2f9b5	КПРФ	И	Иконников Василий Николаевич	/?convocation=AAAAAAA6&deputy=99111842	604		95	878
50e111f5052d3f3584b2f92c	КПРФ	А	Агаев Ваха Абуевич	/?convocation=AAAAAAA6&deputy=99111987	696	2	88	791
50e111f6052d3f3584b2fa4e	ЕР	П	Поддубный Сергей Анатольевич	/?convocation=AAAAAAA6&deputy=99112008	600		36	941
50e111f6052d3f3584b2f9e9	СР	К	Крутов Андрей Дмитриевич	/?convocation=AAAAAAA6&deputy=99111869	530	1	109	937
50e111f6052d3f3584b2fa7a	ЛДПР	С	Свиридов Валентин Валентинович	/?convocation=AAAAAAA6&deputy=99100609	791		14	772
50e111f5052d3f3584b2f93c	ЛДПР	А	Афанасьева Елена Владимировна	/?convocation=AAAAAAA6&deputy=99110040	794	1	13	769
50e111f6052d3f3584b2fa4a	ЕР	П	Пимашков Петр Иванович	/?convocation=AAAAAAA6&deputy=99111922	593		41	943
50e111f5052d3f3584b2f982	КПРФ	Г	Гостев Руслан Георгиевич	/?convocation=AAAAAAA6&deputy=99100108	559	1	99	918
50e111f5052d3f3584b2f99f	ЕР	Ж	Железняк Сергей Владимирович	/?convocation=AAAAAAA6&deputy=99110957	597	1	38	941
50e111f6052d3f3584b2f9d6	ЕР	К	Колесник Андрей Иванович	/?convocation=AAAAAAA6&deputy=99111862	611		31	935
50e111f6052d3f3584b2fa74	КПРФ	С	Сапожников Николай Иванович	/?convocation=AAAAAAA6&deputy=99105417	568	1	99	909
50e111f6052d3f3584b2f9d2	ЕР	К	Кобзон Иосиф Давыдович	/?convocation=AAAAAAA6&deputy=99102913	614		30	933
50e111f6052d3f3584b2fa61	КПРФ	Р	Решульский Сергей Николаевич	/?convocation=AAAAAAA6&deputy=99100336	535		101	941
50e111f6052d3f3584b2fa20	ЕР	М	Мукабенова Марина Алексеевна	/?convocation=AAAAAAA6&deputy=99111010	597		34	946
50e111f6052d3f3584b2fad0	ЕР	Ш	Шемякин Владимир Леонидович	/?convocation=AAAAAAA6&deputy=99111996	634	1	30	912
50e111f5052d3f3584b2f94a	КПРФ	Б	Бессонов Владимир Иванович	/?convocation=AAAAAAA6&deputy=99111794	586	1	99	891
50e111f5052d3f3584b2f92e	ЕР	А	Агузаров Тамерлан Кимович	/?convocation=AAAAAAA6&deputy=99111997	524	1	109	943
50e111f6052d3f3584b2f9df	ЕР	К	Костунов Илья Евгеньевич	/?convocation=AAAAAAA6&deputy=99111864	587		43	947
50e111f6052d3f3584b2fa93	ЕР	С	Старшинов Михаил Евгеньевич	/?convocation=AAAAAAA6&deputy=99111057	602		35	940
50e111f6052d3f3584b2f9a6	ЕР	З	Завальный Павел Николаевич	/?convocation=AAAAAAA6&deputy=99112028	597		39	941
50e111f6052d3f3584b2fadc	КПРФ	Ш	Шурчанов Валентин Сергеевич	/?convocation=AAAAAAA6&deputy=99107007	536		98	943
50e111f6052d3f3584b2fa5a	КПРФ	Р	Разворотнев Николай Васильевич	/?convocation=AAAAAAA6&deputy=99111034	486	3	104	984
50e111f6052d3f3584b2fa32	КПРФ	Н	Новиков Дмитрий Георгиевич	/?convocation=AAAAAAA6&deputy=99111018	717	1	92	767
50e111f6052d3f3584b2fa2f	ЕР	Н	Никонов Вячеслав Алексеевич	/?convocation=AAAAAAA6&deputy=99100295	620		18	939
50e111f5052d3f3584b2f971	ЕР	Г	Галимарданов Марсел Магфурович	/?convocation=AAAAAAA6&deputy=99111811	624		21	932
50e111f6052d3f3584b2fa01	ЕР	Л	Ломакин Анатолий Геннадьевич	/?convocation=AAAAAAA6&deputy=99112189	238		10	446
50e111f6052d3f3584b2f9be	СР	К	Казаков Алексей Валерьевич	/?convocation=AAAAAAA6&deputy=99111848	746	15	95	721
50e111f6052d3f3584b2f9ad	ЕР	З	Зубицкий Борис Давыдович	/?convocation=AAAAAAA6&deputy=99100877	597		36	944
50e111f5052d3f3584b2f94e	ЕР	Б	Богуславский Ирек Борисович	/?convocation=AAAAAAA6&deputy=99110921	609		24	944
50e111f5052d3f3584b2f987	СР	Г	Гудков Дмитрий Геннадьевич	/?convocation=AAAAAAA6&deputy=99111199	620	2	115	840
50e111f5052d3f3584b2f9a2	ЕР	Ж	Жуков Александр Дмитриевич	/?convocation=AAAAAAA6&deputy=99100145	611		22	944
50e111f6052d3f3584b2fa0b	ЕР	М	Максимова Светлана Викторовна	/?convocation=AAAAAAA6&deputy=99111888	601	1	31	944
50e111f6052d3f3584b2fa66	КПРФ	Р	Романов Петр Васильевич	/?convocation=AAAAAAA6&deputy=99105193	591	2	94	890
50e111f5052d3f3584b2f99a	СР	Е	Емельянов Михаил Васильевич	/?convocation=AAAAAAA6&deputy=99102119	521		114	942
50e111f6052d3f3584b2fa11	ЛДПР	М	Маркин Андрей Леонидович	/?convocation=AAAAAAA6&deputy=99111894	798		14	765
50e111f6052d3f3584b2fa7e	ЕР	С	Селимханов Магомед Саламович	/?convocation=AAAAAAA6&deputy=99112000	611	1	30	935
50e111f6052d3f3584b2f9b8	ЕР	И	Ильясов Радик Сабитович	/?convocation=AAAAAAA6&deputy=99111845	625	1	22	929
50e111f6052d3f3584b2fae2	КПРФ	Ю	Ющенко Александр Андреевич	/?convocation=AAAAAAA6&deputy=99111981	645		87	845
50e111f5052d3f3584b2f968	ЕР	В	Волков Юрий Николаевич	/?convocation=AAAAAAA6&deputy=99107856	601		31	945
50e111f5052d3f3584b2f96b	ЕР	В	Выборный Анатолий Борисович	/?convocation=AAAAAAA6&deputy=99111809	605		27	945
50e111f5052d3f3584b2f967	ЕР	В	Волков Данил Владимирович	/?convocation=AAAAAAA6&deputy=99112026	593	2	38	944
50e111f6052d3f3584b2fa0c	КПРФ	М	Мамаев Сергей Павлинович	/?convocation=AAAAAAA6&deputy=99111889	658	2	93	824
50e111f6052d3f3584b2fac8	КПРФ	Ч	Чикин Валентин Васильевич	/?convocation=AAAAAAA6&deputy=99100415	531	1	99	946
50e111f6052d3f3584b2facd	СР	Ш	Швецов Василий Георгиевич	/?convocation=AAAAAAA6&deputy=99111972	512	3	113	949
50e111f5052d3f3584b2f9a3	ЕР	Ж	Журавлев Алексей Александрович	/?convocation=AAAAAAA6&deputy=99111836	590	1	40	946
50e111f5052d3f3584b2f966	ЕР	В	Водолацкий Виктор Петрович	/?convocation=AAAAAAA6&deputy=99110929	177		1	258
50e111f6052d3f3584b2f9f4	СР	Л	Лакутин Николай Афанасьевич	/?convocation=AAAAAAA6&deputy=99111879	840	3	55	679
50e111f6052d3f3584b2fa47	ЕР	П	Пехтин Владимир Алексеевич	/?convocation=AAAAAAA6&deputy=99107656	588		46	943
50e111f6052d3f3584b2fa75	ЕР	С	Саралиев Шамсаил Юнусович	/?convocation=AAAAAAA6&deputy=99112001	599		36	942
50e111f5052d3f3584b2f94d	ЕР	Б	Богомаз Александр Васильевич	/?convocation=AAAAAAA6&deputy=99112231	147		2	287
50e111f5052d3f3584b2f950	КПРФ	Б	Бортко Владимир Владимирович	/?convocation=AAAAAAA6&deputy=99111798	584	3	100	890
50e111f6052d3f3584b2f9e6	ЕР	К	Кривоносов Сергей Владимирович	/?convocation=AAAAAAA6&deputy=99111867	597		39	941
50e111f6052d3f3584b2fa99	ЕР	Т	Тарасенко Михаил Васильевич	/?convocation=AAAAAAA6&deputy=99111061	621	3	18	935
50e111f6052d3f3584b2fa98	КПРФ	Т	Таранин Виктор Иванович	/?convocation=AAAAAAA6&deputy=99111060	666	2	90	819
50e111f6052d3f3584b2fa12	ЛДПР	М	Маркин Эдуард Витальевич	/?convocation=AAAAAAA6&deputy=99111002	772		14	791
50e111f5052d3f3584b2f953	СР	Б	Брячак Михаил Васильевич	/?convocation=AAAAAAA6&deputy=99111800	526	1	107	943
50e111f6052d3f3584b2f9bd	ЕР	К	Кабанова Валентина Викторовна	/?convocation=AAAAAAA6&deputy=99111220	604	2	35	936
50e111f6052d3f3584b2fadf	ЕР	Ю	Южилин Виталий Александрович	/?convocation=AAAAAAA6&deputy=99100848	601		32	944
50e111f5052d3f3584b2f961	ЕР	В	Васильев Владимир Абдуалиевич	/?convocation=AAAAAAA6&deputy=99109940	597	2	37	941
50e111f6052d3f3584b2fa4d	ЕР	П	Плигин Владимир Николаевич	/?convocation=AAAAAAA6&deputy=99110072	601		37	939
50e111f6052d3f3584b2fa1b	СР	М	Михеев Олег Леонидович	/?convocation=AAAAAAA6&deputy=99111005	675		95	807
50e111f6052d3f3584b2fa6e	ЕР	С	Саблин Дмитрий Вадимович	/?convocation=AAAAAAA6&deputy=99109963	604		34	939
50e111f6052d3f3584b2fa86	КПРФ	С	Синельщиков Юрий Петрович	/?convocation=AAAAAAA6&deputy=99111945	549	2	96	930
50e111f5052d3f3584b2f92a	КПРФ	А	Авдеев Михаил Юрьевич	/?convocation=AAAAAAA6&deputy=99111776	640	2	91	844
50e111f5052d3f3584b2f99b	СР	Е	Епифанова Ольга Николаевна	/?convocation=AAAAAAA6&deputy=99111830	654	2	109	812
50e111f6052d3f3584b2f9e3	ЕР	К	Красов Андрей Леонидович	/?convocation=AAAAAAA6&deputy=99112015	587		47	943
50e111f6052d3f3584b2fa5b	ЕР	Р	Рахматуллина Зугура Ягануровна	/?convocation=AAAAAAA6&deputy=99111930	595	1	39	942
50e111f6052d3f3584b2f9eb	ЕР	К	Кузьминых Тамара Гавриловна	/?convocation=AAAAAAA6&deputy=99111872	620	2	33	922
50e111f6052d3f3584b2fa9b	СР	Т	Тарнавский Александр Георгиевич	/?convocation=AAAAAAA6&deputy=99112227	209	1	36	313
50e111f6052d3f3584b2fa24	ЕР	М	Муцоев Зелимхан Аликоевич	/?convocation=AAAAAAA6&deputy=99100781	280		12	527
50e111f5052d3f3584b2f977	ЕР	Г	Герасименко Николай Федорович	/?convocation=AAAAAAA6&deputy=99101528	610		25	942
50e111f6052d3f3584b2f9c6	ЕР	К	Карелин Александр Александрович	/?convocation=AAAAAAA6&deputy=99100692	596	1	35	945
50e111f6052d3f3584b2fa9a	ЛДПР	Т	Тарасюк Василий Михайлович	/?convocation=AAAAAAA6&deputy=99110032	763		14	800
50e111f6052d3f3584b2fad4	ЕР	Ш	Шихсаидов Хизри Исаевич	/?convocation=AAAAAAA6&deputy=99111082	604		33	940
50e111f5052d3f3584b2f9a4	ЛДПР	Ж	Журавлев Сергей Валерианович	/?convocation=AAAAAAA6&deputy=99111837	748	2	13	814
50e111f5052d3f3584b2f97a	ЕР	Г	Глубоковская Эльмира Гусейновна	/?convocation=AAAAAAA6&deputy=99110939	597	1	41	938
50e111f6052d3f3584b2fade	ЕР	Э	Эркенов Ахмат Чокаевич	/?convocation=AAAAAAA6&deputy=99111089	596	2	36	943
50e111f6052d3f3584b2faa0	ЕР	Т	Терентьев Михаил Борисович	/?convocation=AAAAAAA6&deputy=99111064	595	1	42	939
50e111f6052d3f3584b2faa8	ЕР	Т	Трапезников Валерий Владимирович	/?convocation=AAAAAAA6&deputy=99111954	600	1	34	942
50e111f6052d3f3584b2faa1	ЕР	Т	Терешкова Валентина Владимировна	/?convocation=AAAAAAA6&deputy=99112025	612	1	32	932
50e111f5052d3f3584b2f933	КПРФ	А	Алферов Жорес Иванович	/?convocation=AAAAAAA6&deputy=99100543	573		100	904
50e111f6052d3f3584b2fadd	ЕР	Ш	Шхагошев Адальби Люлевич	/?convocation=AAAAAAA6&deputy=99111086	604	1	33	939
50e111f6052d3f3584b2fa22	ЕР	М	Мурга Андрей Юрьевич	/?convocation=AAAAAAA6&deputy=99111905	602	1	39	935
50e111f6052d3f3584b2f9e7	ЛДПР	К	Кропачев Александр Сергеевич	/?convocation=AAAAAAA6&deputy=99111868	767	1	13	796
50e111f6052d3f3584b2fa94	ЕР	С	Степанова Зоя Михайловна	/?convocation=AAAAAAA6&deputy=99109962	592	1	41	943
50e111f6052d3f3584b2fa69	СР	Р	Руденко Андрей Викторович	/?convocation=AAAAAAA6&deputy=99111934	522	3	112	940
50e111f5052d3f3584b2f997	ЛДПР	Д	Дроздов Илья Юрьевич	/?convocation=AAAAAAA6&deputy=99111828	792	3	12	770
50e111f6052d3f3584b2f9c9	ЕР	К	Кармазина Раиса Васильевна	/?convocation=AAAAAAA6&deputy=99109942	600		48	929
50e111f6052d3f3584b2fa9c	КПРФ	Т	Тарнаев Александр Петрович	/?convocation=AAAAAAA6&deputy=99111952	703	1	83	790
50e111f5052d3f3584b2f937	КПРФ	А	Апарина Алевтина Викторовна	/?convocation=AAAAAAA6&deputy=99100015	534	1	96	946
50e111f5052d3f3584b2f97f	ЕР	Г	Горовой Николай Иванович	/?convocation=AAAAAAA6&deputy=99111816	603		31	943
50e111f6052d3f3584b2fa33	ЛДПР	Н	Носов Дмитрий Юрьевич	/?convocation=AAAAAAA6&deputy=99111913	770	21	13	773
50e111f6052d3f3584b2fae1	ЕР	Ю	Юсупов Марсель Харисович	/?convocation=AAAAAAA6&deputy=99111090	602	1	31	943
50e111f6052d3f3584b2fa43	СР	П	Петров Сергей Анатольевич	/?convocation=AAAAAAA6&deputy=99111027	546	1	110	920
50e111f6052d3f3584b2f9d8	КПРФ	К	Коломейцев Виктор Андреевич	/?convocation=AAAAAAA6&deputy=99100841	555		93	929
50e111f6052d3f3584b2fabc	ЕР	Х	Хинштейн Александр Евсеевич	/?convocation=AAAAAAA6&deputy=99109912	619	1	28	929
50e111f6052d3f3584b2fa7b	ЛДПР	С	Свищев Дмитрий Александрович	/?convocation=AAAAAAA6&deputy=99111048	770		14	793
50e111f6052d3f3584b2f9d0	ЕР	К	Климов Виктор Владимирович	/?convocation=AAAAAAA6&deputy=99111856	606		32	939
50e111f5052d3f3584b2f934	ЛДПР	А	Ананских Игорь Александрович	/?convocation=AAAAAAA6&deputy=99111780	771	1	13	792
50e111f5052d3f3584b2f975	ЕР	Г	Гасанов Магомедкади Набиевич	/?convocation=AAAAAAA6&deputy=99100857	609	1	30	937
50e111f6052d3f3584b2fad9	ЕР	Ш	Шрейдер Виктор Филиппович	/?convocation=AAAAAAA6&deputy=99111977	597		38	942
50e111f5052d3f3584b2f96c	ЕР	В	Вяткин Дмитрий Федорович	/?convocation=AAAAAAA6&deputy=99110933	597		36	944
50e111f6052d3f3584b2fa15	СР	М	Машкарин Владимир Петрович	/?convocation=AAAAAAA6&deputy=99111897	482	5	95	995
50e111f5052d3f3584b2f965	ЕР	В	Вахаев Хож Магомед Хумайдович	/?convocation=AAAAAAA6&deputy=99110928	607		28	942
50e111f6052d3f3584b2fab1	ЕР	Ф	Федоров Евгений Алексеевич	/?convocation=AAAAAAA6&deputy=99100398	597	7	41	932
50e111f6052d3f3584b2f9d9	КПРФ	К	Коломейцев Николай Васильевич	/?convocation=AAAAAAA6&deputy=99103008	598		97	882
50e111f5052d3f3584b2f926	ЕР	А	Абдулатипов Рамазан Гаджимурадович	/?convocation=AAAAAAA6&deputy=99100491	595	2	45	935
50e111f5052d3f3584b2f98b	ЕР	Д	Делимханов Адам Султанович	/?convocation=AAAAAAA6&deputy=99110948	603	1	29	944
50e111f6052d3f3584b2faa6	ЕР	Т	Ткачев Алексей Николаевич	/?convocation=AAAAAAA6&deputy=99109943	599		39	939
50e111f5052d3f3584b2f954	ЕР	Б	Булавинов Вадим Евгеньевич	/?convocation=AAAAAAA6&deputy=99100052	607		34	936
50e111f6052d3f3584b2f9e8	ЕР	К	Крупенников Владимир Александрович	/?convocation=AAAAAAA6&deputy=99111733	616		30	931
50e111f5052d3f3584b2f943	ЕР	Б	Бариев Марат Мансурович	/?convocation=AAAAAAA6&deputy=99111787	613		22	942
50e111f6052d3f3584b2faab	СР	Т	Тумусов Федот Семёнович	/?convocation=AAAAAAA6&deputy=99111067	570	1	109	897
50e111f6052d3f3584b2f9f1	КПРФ	К	Кумин Вадим Валентинович	/?convocation=AAAAAAA6&deputy=99111875	654	2	91	830
50e111f6052d3f3584b2fa8a	ЕР	С	Слипенчук Михаил Викторович	/?convocation=AAAAAAA6&deputy=99111990	608	3	30	936
50e111f6052d3f3584b2fa82	ЕР	С	Сибагатуллин Фатих Саубанович	/?convocation=AAAAAAA6&deputy=99111054	601	1	30	945
